"";"variable";"Effect";"DFn";"DFd";"F";"p";"p<.05";"ges";"p.adj"
"1";"SOD_t";"playa";2;17;6,649;0,007;"*";0,439;0,0436153846153846
"2";"CAT_t";"playa";2;16;30,861;3,23e-06;"*";0,794;0,000240975
"3";"GPx_p";"playa";2;9;11,416;0,003;"*";0,717;0,0243
"4";"GR_t";"playa";2;17;10,103;0,001;"*";0,543;0,0135
"5";"GR_p";"cultivo";1;17;10,491;0,005;"*";0,382;0,0368181818181818
"6";"GST_t";"playa";2;16;9,055;0,002;"*";0,531;0,018
"7";"GST_t";"cultivo";1;16;18,539;0,000544;"*";0,537;0,011016
"8";"GST_p";"playa";2;15;7,161;0,007;"*";0,488;0,0436153846153846
"9";"GST_p";"cultivo";1;15;46,297;5,95e-06;"*";0,755;0,000240975
"10";"DTD_t";"cultivo";1;17;15,233;0,001;"*";0,473;0,0135
"11";"DTD_p";"playa";2;18;8,835;0,002;"*";0,495;0,018
"12";"MDA_t";"cultivo";1;15;31,572;4,89e-05;"*";0,678;0,0013203
"13";"Fbasica_t";"playa";2;16;9,394;0,002;"*";0,54;0,018
